station,date_deploy,date_retrieve,month,year,tot_shell_vol_mL,tot_shell_wt_g,shell_num,height_mm,length_mm,ext_count,int_count,barnacle,max_spat_ht_mm,notes
wq3,6/8/2018,7/9/2018,June,2018,150,314,10,,,,,,,
wq3,6/8/2018,7/9/2018,June,2018,150,314,bag,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,1,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,2,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,3,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,4,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,5,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,6,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,7,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,8,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,9,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,10,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,bag,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,1,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,2,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,3,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,4,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,5,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,6,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,7,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,8,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,9,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,10,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,bag,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,1,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,2,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,3,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,4,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,5,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,6,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,7,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,8,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,9,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,10,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,bag,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,1,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,2,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,3,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,4,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,5,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,6,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,7,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,8,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,9,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,10,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,bag,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,1,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,2,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,3,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,4,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,5,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,6,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,7,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,8,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,9,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,10,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,bag,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,2,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,3,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,4,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,5,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,6,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,7,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,8,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,9,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,10,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,bag,,,,,,,
wq1,,,,,,,,,,,,,,sensor removed for construction
wq2,,,,,,,,,,,,,,sensor removed for construction
wq3,7/9/2018,,July,2018,165,315,,,,,,,,
wq4,7/9/2018,,July,2018,215,408,,,,,,,,
wq5,7/9/2018,,July,2018,240,450,,,,,,,,
wq6,7/9/2018,,July,2018,190,387,,,,,,,,
wq7,7/9/2018,,July,2018,215,426,,,,,,,,
wq8,7/9/2018,,July,2018,165,374,,,,,,,,
wq9,7/9/2018,,July,2018,190,362,,,,,,,,
