data_type,field_pt,date,year,month,day,locality,site,bar,org_stn,station,transect,tran_length,easting,northing,elev_m,pt_type,collector,el_type,gear,location
ELEVATION,BTI1-5,1/8/2019,2019,1,8,BT,I,1,N_A,BTI1,1,12.5,297463.958,3239368.094,-0.376,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI1-6,1/8/2019,2019,1,8,BT,I,1,N_A,BTI1,1,15,297466.406,3239367.615,-0.487,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI1-7,1/8/2019,2019,1,8,BT,I,1,N_A,BTI1,1,17.5,297468.887,3239367.154,-0.396,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI1-8,1/8/2019,2019,1,8,BT,I,1,N_A,BTI1,1,20,297471.33,3239366.694,-0.591,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI1-9,1/8/2019,2019,1,8,BT,I,1,N_A,BTI1,1,22.5,297473.746,3239366.247,-0.75,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI1-10,1/8/2019,2019,1,8,BT,I,1,N_A,BTI1,1,23,297474.506,3239366.179,-0.751,TRAN_END,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-1-0,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,1,0,297602.68,3239520.345,-0.794,TRAN_ST,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-1-1,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,1,2.5,297603.088,3239517.877,-0.609,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-1-2,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,1,5,297603.294,3239515.401,-0.549,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-1-3,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,1,7.5,297603.489,3239512.941,-0.546,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-1-4,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,1,10,297603.656,3239510.446,-0.388,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-1-5,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,1,12.5,297603.87,3239507.928,-0.497,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-1-6,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,1,15,297604.084,3239505.472,-0.484,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-1-7,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,1,17.5,297604.345,3239502.968,-0.502,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-1-8,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,1,20,297604.565,3239500.568,-0.559,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-1-9,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,1,20.9,297604.779,3239499.527,-0.593,TRAN_END,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-2-0,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,2,0,297608.808,3239488.544,-0.791,TRAN_ST,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-2-1,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,2,2.5,297611.261,3239488.84,-0.7,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-2-2,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,2,5,297613.723,3239488.898,-0.563,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-2-3,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,2,7.5,297616.2,3239489.061,-0.307,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-2-4,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,2,10,297618.643,3239489.189,-0.299,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-2-5,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,2,12.5,297621.195,3239489.341,-0.43,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-2-6,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,2,15,297623.651,3239489.502,-0.504,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-2-7,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,2,17.5,297626.141,3239489.638,-0.704,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI2-2-8,1/8/2019,2019,1,8,BT,I,2,N_A,BTI2,2,17.75,297626.814,3239489.646,-0.747,TRAN_END,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-1-0,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,1,0,297639.663,3239404.368,-0.786,TRAN_ST,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-1-1,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,1,2.5,297639.581,3239401.875,-0.629,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-1-2,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,1,5,297639.69,3239399.347,-0.656,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-1-3,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,1,7.5,297639.671,3239396.847,-0.566,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-1-4,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,1,10,297639.621,3239394.36,-0.54,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-1-5,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,1,12.5,297639.597,3239391.863,-0.526,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-1-6,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,1,15,297639.56,3239389.374,-0.395,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-1-7,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,1,17.5,297639.524,3239386.877,-0.614,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-1-8,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,1,20,297639.477,3239384.393,-0.712,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-1-9,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,1,20.2,297639.36,3239384.031,-0.761,TRAN_END,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-2-0,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,2,0,297700.593,3239364.972,-0.756,TRAN_ST,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-2-1,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,2,2.5,297703.142,3239364.927,-0.662,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-2-2,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,2,5,297705.628,3239364.737,-0.616,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-2-3,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,2,7.5,297708.108,3239364.56,-0.417,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-2-4,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,2,10,297710.626,3239364.451,-0.694,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-2-5,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,2,12.5,297713.101,3239364.262,-0.668,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-2-6,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,2,15,297715.583,3239364.084,-0.793,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-2-7,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,2,17.5,297718.096,3239363.957,-0.925,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI3-2-8,1/8/2019,2019,1,8,BT,I,3,N_A,BTI3,2,19.7,297720.515,3239363.804,-0.776,TRAN_END,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-0,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,0,297493.513,3239006.63,-1.024,TRAN_ST,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-1,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,2.5,297496.073,3239006.719,-0.979,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-2,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,5,297498.555,3239006.597,-0.9,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-3,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,7.5,297501.108,3239006.38,-0.931,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-4,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,10,297503.568,3239006.024,-0.877,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-5,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,12.5,297505.984,3239005.685,-0.876,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-6,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,15,297508.51,3239005.469,-0.867,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-7,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,17.5,297510.964,3239005.389,-0.935,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-8,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,20,297513.474,3239005.043,-0.816,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-9,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,22.5,297516.01,3239005.081,-0.806,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-10,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,25,297518.477,3239005.024,-0.784,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-11,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,27.5,297521.037,3239004.718,-0.574,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI4-2-12,1/8/2019,2019,1,8,BT,I,4,N_A,BTI4,2,28.1,297521.597,3239004.695,-0.634,TRAN_END,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-1-0,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,0,297870.52,3239059.308,-0.954,TRAN_ST,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-1-1,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,2.5,297869.937,3239056.809,-0.408,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-1-2,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,5,297869.523,3239054.406,-0.386,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-1-3,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,7.5,297869.172,3239051.952,-0.511,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-1-4,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,10,297868.838,3239049.516,-0.514,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-1-5,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,12.5,297868.408,3239047.039,-0.529,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-1-6,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,15,297868.075,3239044.63,-0.546,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-1-7,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,17.5,297867.666,3239042.074,-0.688,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-1-8,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,20,297867.22,3239039.581,-0.85,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-1-9,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,21.75,297866.756,3239037.732,-0.93,TRAN_END,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-0,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,0,297850.223,3239052.021,-0.383,TRAN_ST,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-1,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,2.5,297852.787,3239051.822,-0.419,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-2,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,5,297855.259,3239051.693,-0.486,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-3,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,7.5,297857.764,3239051.533,-0.485,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-4,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,10,297860.31,3239051.504,-0.5,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-5,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,12.5,297862.786,3239051.307,-0.552,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-6,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,15,297865.217,3239051.104,-0.41,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-7,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,17.5,297867.728,3239050.826,-0.426,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-8,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,20,297870.181,3239050.523,-0.516,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-9,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,22.5,297872.688,3239050.365,-0.516,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-10,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,25,297875.177,3239050.185,-0.459,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-11,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,27.5,297877.669,3239050.025,-0.468,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-12,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,30,297880.168,3239049.873,-0.408,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-13,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,32.5,297882.662,3239049.711,-0.391,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-14,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,35,297885.168,3239049.581,-0.579,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-15,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,37.5,297887.653,3239049.417,-0.648,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-16,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,40,297890.154,3239049.234,-0.766,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-17,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,40.94,297891.27,3239049.12,-0.851,TRAN_END,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LCGCP1,10/25/2018,2018,10,25,LC,I,-999,N_A,N_A,-999,-999,298128.822,3235650.883,-0.162,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LCGCP2,10/25/2018,2018,10,25,LC,I,-999,N_A,N_A,-999,-999,298751.345,3235727.804,-0.003,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LCGCP3,10/25/2018,2018,10,25,LC,I,-999,N_A,N_A,-999,-999,298325.42,3236012.637,0.187,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LCGCP4,10/25/2018,2018,10,25,LC,I,-999,N_A,N_A,-999,-999,298808.109,3236196.943,-0.104,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LCGCP5,10/25/2018,2018,10,25,LC,I,-999,N_A,N_A,-999,-999,298556.572,3235769.346,0.003,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LTGCP1,10/24/2018,2018,10,24,LT,I,-999,N_A,N_A,-999,-999,298264.873,3238465.89,-0.091,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LTGCP2,1/24/2019,2019,1,24,LT,I,-999,N_A,N_A,-999,-999,298500.788,3238699.353,-0.134,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LTGCP3,10/24/2018,2018,10,24,LT,I,-999,N_A,N_A,-999,-999,298378.183,3238371.311,-0.341,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
