QUESTION,STATION,TRANSECT,ROCK,HARVEST,LENGTH_M,TYPE,X,Y,LABEL
2,LCO11A,1,ROCK,N,22,TRAN_ST,295240.3202,3238286.631,LCO11A-1
2,LCO11B,5,ROCK,N,22,TRAN_ST,295314.4128,3238196.611,LCO11B-5
2,LCO11B,6,ROCK,N,22,TRAN_ST,295314.4128,3238196.611,LCO11B-6
2,LCO11B,7,ROCK,N,22,TRAN_ST,295314.4128,3238196.611,LCO11B-7
2,LCO12,6,ROCK,N,22,TRAN_ST,295455.9826,3238032.784,LCO12-6
2,LCO12,7,ROCK,N,22,TRAN_ST,295455.9826,3238032.784,LCO12-7
2,LCO12,8,ROCK,N,22,TRAN_ST,295455.9826,3238032.784,LCO12-8
2,LCO12,9,ROCK,N,22,TRAN_ST,295455.9826,3238032.784,LCO12-9
2,LCO12,10,ROCK,N,22,TRAN_ST,295455.9826,3238032.784,LCO12-10
2,LCO16,4,ROCK,N,22,TRAN_ST,295924.572,3237499.512,LCO16-4
2,LCO16,5,ROCK,N,22,TRAN_ST,295924.572,3237499.512,LCO16-5
2,LCO16,6,ROCK,N,22,TRAN_ST,295924.572,3237499.512,LCO16-6
2,LCO16,7,ROCK,N,22,TRAN_ST,295924.572,3237499.512,LCO16-7
2,LCO18,1,ROCK,Y,22,TRAN_ST,296029.6408,3236796.635,LCO18-1
2,LCO18,2,ROCK,Y,22,TRAN_ST,296029.6408,3236796.635,LCO18-2
2,LCO19,6,ROCK,Y,22,TRAN_ST,296271.674,3236396.326,LCO19-6
2,LCO19,7,ROCK,Y,22,TRAN_ST,296271.674,3236396.326,LCO19-7
2,LCO19,8,ROCK,Y,22,TRAN_ST,296271.674,3236396.326,LCO19-8
2,LCO19,9,ROCK,Y,22,TRAN_ST,296282.2073,3236377.044,LCO19-9
2,LCO19,10,ROCK,Y,22,TRAN_ST,296282.2073,3236377.044,LCO19-10
2,LCO20,4,ROCK,Y,22,TRAN_ST,296408.8006,3235963.976,LCO20-4
2,LCO20,5,ROCK,Y,22,TRAN_ST,296439.9619,3235905.892,LCO20-5
2,LCO20,6,ROCK,Y,22,TRAN_ST,296439.9619,3235905.892,LCO20-6
2,LCO20,7,ROCK,Y,22,TRAN_ST,296439.9619,3235905.892,LCO20-7
2,LCO20,8,ROCK,Y,22,TRAN_ST,296439.9619,3235905.892,LCO20-8
2,LCO21,4,ROCK,Y,22,TRAN_ST,296496.7439,3235764.889,LCO21-4
2,LCO21,5,ROCK,Y,22,TRAN_ST,296555.0063,3235646.631,LCO21-5
2,LCO21,6,ROCK,Y,22,TRAN_ST,296555.0063,3235646.631,LCO21-6
2,LCO21,7,ROCK,Y,22,TRAN_ST,296555.0063,3235646.631,LCO21-7
2,LCO21,8,ROCK,Y,22,TRAN_ST,296555.0063,3235646.631,LCO21-8
2,LCO21,9,ROCK,Y,22,TRAN_ST,296555.0063,3235646.631,LCO21-9
2,LCO21,10,ROCK,Y,22,TRAN_ST,296564.7167,3235626.921,LCO21-10
2,LCO21,11,ROCK,Y,22,TRAN_ST,296564.7167,3235626.921,LCO21-11
2,LCO21,12,ROCK,Y,22,TRAN_ST,296564.7167,3235626.921,LCO21-12
2,LCO9B,11,ROCK,N,22,TRAN_ST,294808.4493,3238766.633,LCO9B-11
2,LCO9B,12,ROCK,N,22,TRAN_ST,294808.4493,3238766.633,LCO9B-12
2,LCO9B,13,ROCK,N,22,TRAN_ST,294808.4493,3238766.633,LCO9B-13
2,LCO9B,14,ROCK,N,22,TRAN_ST,294808.4493,3238766.633,LCO9B-14
2,LCO9B,15,ROCK,N,22,TRAN_ST,294881.0141,3238688.276,LCO9B-15
2,LTI10,1,NA,N,14,TRAN_END,298509.2327,3238689.733,LTI10-1
2,LTI10,1,NA,N,14,TRAN_ST,298494.9731,3238689.733,LTI10-1
2,LTI11,1,NA,N,47,TRAN_END,298420.4375,3238682.888,LTI11-1
2,LTI11,1,NA,N,47,TRAN_ST,298420.4375,3238636.025,LTI11-1
2,LTI7,1,NA,N,10,TRAN_END,298363.1112,3238083.733,LTI7-1
2,LTI7,1,NA,N,10,TRAN_ST,298352.9637,3238083.733,LTI7-1
2,LTI8,1,NA,N,38,TRAN_END,298465.0418,3238557.733,LTI8-1
2,LTI8,1,NA,N,38,TRAN_ST,298427.3351,3238557.733,LTI8-1
2,LTI9,1,NA,N,39,TRAN_END,298218.0822,3238441.733,LTI9-1
2,LTI9,1,NA,N,39,TRAN_ST,298178.7634,3238441.733,LTI9-1
2,NNI2,2,NA,N,24,TRAN_END,298485.2894,3237717.733,NNI2-2
2,NNI2,2,NA,N,24,TRAN_ST,298461.7847,3237717.733,NNI2-2
2,NNI3,3,NA,N,34,TRAN_END,298431.8459,3237687.733,NNI3-3
2,NNI3,3,NA,N,34,TRAN_ST,298398.2611,3237687.733,NNI3-3
