station,month,year,shell_num,sh_ht_mm,sh_ln_mm,sh_wd_mm,ex_cnt,in_cnt,barnacle,recorder
WQ4,AUGUST,2018,10,80,53,14,1,1,LIGHT,SL
WQ5,AUGUST,2018,1,100,55,32,8,9,LIGHT,SL
WQ5,AUGUST,2018,2,94,68,30,11,7,LIGHT,SL
WQ5,AUGUST,2018,3,97,57,24,16,9,LIGHT,SL
WQ5,AUGUST,2018,4,67,48,23,4,2,MODERATE,SL
WQ5,AUGUST,2018,5,96,45,28,10,3,MODERATE,SL
WQ5,AUGUST,2018,6,80,55,28,8,4,MODERATE,SL
WQ5,AUGUST,2018,7,86,55,26,10,6,LIGHT,SL
WQ5,AUGUST,2018,8,80,54,19,0,1,LIGHT,SL
WQ5,AUGUST,2018,9,76,52,33,5,1,LIGHT,SL
WQ5,AUGUST,2018,10,90,52,32,6,10,MODERATE,SL
WQ6,AUGUST,2018,1,113,52,24,0,0,NONE,SL
WQ6,AUGUST,2018,2,85,70,23,0,0,NONE,SL
WQ6,AUGUST,2018,3,80,57,20,0,0,NONE,SL
WQ6,AUGUST,2018,4,77,52,21,0,0,NONE,SL
WQ6,AUGUST,2018,5,71,50,14,0,0,NONE,SL
WQ6,AUGUST,2018,6,94,55,40,0,0,NONE,SL
WQ6,AUGUST,2018,7,71,57,17,0,0,NONE,SL
WQ6,AUGUST,2018,8,93,62,11,0,0,NONE,SL
WQ6,AUGUST,2018,9,75,53,12,0,0,NONE,SL
WQ6,AUGUST,2018,10,87,45,30,0,0,NONE,SL
WQ7,AUGUST,2018,1,140,84,40,0,0,NONE,SL
WQ7,AUGUST,2018,2,91,54,24,0,0,NONE,SL
WQ7,AUGUST,2018,3,84,40,7,0,0,NONE,SL
WQ7,AUGUST,2018,4,73,52,23,0,0,NONE,SL
WQ7,AUGUST,2018,5,82,60,28,0,0,NONE,SL
WQ7,AUGUST,2018,6,80,55,22,0,0,NONE,SL
WQ7,AUGUST,2018,7,85,44,26,0,0,NONE,SL
WQ7,AUGUST,2018,8,91,47,25,0,0,NONE,SL
WQ7,AUGUST,2018,9,64,35,8,0,0,NONE,SL
WQ8,AUGUST,2018,1,103,64,32,15,19,LIGHT,SL
WQ8,AUGUST,2018,2,90,57,36,12,6,LIGHT,SL
WQ8,AUGUST,2018,3,77,45,11,3,3,LIGHT,SL
WQ8,AUGUST,2018,4,89,48,28,2,14,LIGHT,SL
WQ8,AUGUST,2018,5,68,55,29,8,11,LIGHT,SL
WQ8,AUGUST,2018,6,87,63,23,5,9,LIGHT,SL
WQ8,AUGUST,2018,7,88,54,18,1,2,LIGHT,SL
WQ8,AUGUST,2018,8,94,44,25,13,20,LIGHT,SL
WQ8,AUGUST,2018,9,90,45,33,21,11,LIGHT,SL
WQ8,AUGUST,2018,10,68,53,34,4,11,LIGHT,SL
WQ9,AUGUST,2018,1,80,50,18,0,1,LIGHT,SL
WQ9,AUGUST,2018,2,85,54,24,0,5,LIGHT,SL
WQ9,AUGUST,2018,3,97,62,37,7,5,HEAVY,SL
WQ9,AUGUST,2018,4,101,71,36,3,0,HEAVY,SL
WQ9,AUGUST,2018,5,90,52,27,0,3,LIGHT,SL
WQ9,AUGUST,2018,6,84,44,20,9,5,MODERATE,SL
WQ9,AUGUST,2018,7,74,40,11,7,4,MODERATE,SL
WQ9,AUGUST,2018,8,84,44,28,2,4,HEAVY,SL
WQ9,AUGUST,2018,9,77,53,20,0,3,MODERATE,SL
WQ9,AUGUST,2018,10,70,44,10,0,3,LIGHT,SL
WQ1,AUGUST,2018,1,80,56,44,0,0,NONE,SB
WQ1,AUGUST,2018,2,75,60,12,0,0,NONE,SB
WQ1,AUGUST,2018,3,65,49,18,0,0,NONE,SB
WQ1,AUGUST,2018,4,82,40,22,0,0,NONE,SB
WQ1,AUGUST,2018,5,87,24,51,0,0,NONE,SB
WQ1,AUGUST,2018,6,92,53,25,0,0,LIGHT,SB
WQ1,AUGUST,2018,7,100,55,21,0,0,LIGHT,SB
WQ1,AUGUST,2018,8,72,42,10,0,0,LIGHT,SB
WQ1,AUGUST,2018,9,72,51,13,0,0,LIGHT,SB
WQ1,AUGUST,2018,10,65,49,12,0,0,LIGHT,SB
WQ3,AUGUST,2018,1,65,41,12,2,2,LIGHT,SB
WQ3,AUGUST,2018,2,67,50,22,0,4,LIGHT,SB
WQ3,AUGUST,2018,3,84,42,17,5,12,LIGHT,SB
WQ3,AUGUST,2018,4,93,48,20,0,9,LIGHT,SB
WQ3,AUGUST,2018,5,95,57,32,2,1,LIGHT,SB
WQ3,AUGUST,2018,6,72,53,17,0,3,LIGHT,SB
WQ3,AUGUST,2018,7,66,52,24,0,4,LIGHT,SB
WQ3,AUGUST,2018,8,66,47,12,6,16,LIGHT,SB
WQ3,AUGUST,2018,9,78,46,24,3,13,LIGHT,SB
WQ3,AUGUST,2018,10,102,48,22,1,4,LIGHT,SB
WQ4,AUGUST,2018,1,72,50,25,0,1,HEAVY,SB
WQ4,AUGUST,2018,2,85,40,7,1,0,HEAVY,SB
WQ4,AUGUST,2018,3,87,53,24,2,4,HEAVY,SB
WQ4,AUGUST,2018,4,64,42,12,0,0,MODERATE,SB
WQ4,AUGUST,2018,5,97,39,24,0,2,HEAVY,SB
WQ4,AUGUST,2018,6,120,67,26,1,6,HEAVY,SB
WQ4,AUGUST,2018,7,81,59,23,2,3,MODERATE,SB
WQ4,AUGUST,2018,8,104,48,28,3,1,HEAVY,SB
WQ4,AUGUST,2018,9,74,60,23,1,0,HEAVY,SB
WQ4,AUGUST,2018,10,81,49,17,0,1,MODERATE,SB
WQ5,AUGUST,2018,1,99,43,28,1,0,MODERATE,SB
WQ5,AUGUST,2018,2,96,56,22,6,9,LIGHT,SB
WQ5,AUGUST,2018,3,86,52,23,8,6,LIGHT,SB
WQ5,AUGUST,2018,4,88,50,28,0,11,LIGHT,SB
WQ5,AUGUST,2018,5,103,58,32,3,7,LIGHT,SB
WQ5,AUGUST,2018,6,95,57,24,9,6,LIGHT,SB
WQ5,AUGUST,2018,7,78,56,15,0,1,MODERATE,SB
WQ5,AUGUST,2018,8,74,53,28,4,1,MODERATE,SB
WQ5,AUGUST,2018,9,68,60,20,3,2,MODERATE,SB
WQ5,AUGUST,2018,10,79,52,25,3,6,MODERATE,SB
WQ6,AUGUST,2018,1,80,62,22,0,0,NONE,SB
WQ6,AUGUST,2018,2,88,19,45,0,2,NONE,SB
WQ6,AUGUST,2018,3,81,52,18,0,0,NONE,SB
WQ6,AUGUST,2018,4,66,45,18,0,0,NONE,SB
WQ6,AUGUST,2018,5,72,51,17,0,0,NONE,SB
WQ6,AUGUST,2018,6,95,57,30,0,0,NONE,SB
WQ6,AUGUST,2018,7,78,49,13,0,0,NONE,SB
WQ6,AUGUST,2018,8,93,64,10,0,63,NONE,SB
WQ6,AUGUST,2018,9,76,55,14,0,12,LIGHT,SB
WQ6,AUGUST,2018,10,111,51,20,0,0,NONE,SB
WQ7,AUGUST,2018,1,81,48,24,0,0,NONE,SB
WQ7,AUGUST,2018,2,136,79,32,0,0,NONE,SB
WQ7,AUGUST,2018,3,92,50,24,0,0,NONE,SB
WQ7,AUGUST,2018,4,86,55,25,0,0,NONE,SB
WQ7,AUGUST,2018,5,80,55,18,0,0,NONE,SB
WQ7,AUGUST,2018,6,84,43,10,0,0,NONE,SB
WQ7,AUGUST,2018,7,91,53,21,0,0,NONE,SB
WQ7,AUGUST,2018,8,65,40,12,0,0,NONE,SB
WQ7,AUGUST,2018,9,87,57,30,0,0,NONE,SB
WQ8,AUGUST,2018,1,100,63,25,8,14,LIGHT,SB
WQ8,AUGUST,2018,2,90,40,30,10,9,LIGHT,SB
WQ8,AUGUST,2018,3,94,43,25,7,13,LIGHT,SB
WQ8,AUGUST,2018,4,81,59,16,3,5,LIGHT,SB
WQ8,AUGUST,2018,5,68,52,20,1,3,LIGHT,SB
WQ8,AUGUST,2018,6,88,55,33,7,7,LIGHT,SB
WQ8,AUGUST,2018,7,87,52,18,0,11,LIGHT,SB
WQ8,AUGUST,2018,8,68,52,25,3,5,LIGHT,SB
WQ8,AUGUST,2018,9,77,46,9,0,3,LIGHT,SB
WQ8,AUGUST,2018,10,86,48,14,0,0,LIGHT,SB
WQ9,AUGUST,2018,1,70,47,7,0,5,LIGHT,SB
WQ9,AUGUST,2018,2,89,59,32,1,4,HEAVY,SB
WQ9,AUGUST,2018,3,78,53,21,0,2,MODERATE,SB
WQ9,AUGUST,2018,4,82,43,18,4,5,MODERATE,SB
WQ9,AUGUST,2018,5,83,50,23,0,3,MODERATE,SB
WQ9,AUGUST,2018,6,102,67,33,0,0,HEAVY,SB
WQ9,AUGUST,2018,7,83,52,24,0,0,LIGHT,SB
WQ9,AUGUST,2018,8,80,60,18,0,3,LIGHT,SB
WQ9,AUGUST,2018,9,75,39,13,6,4,MODERATE,SB
WQ9,AUGUST,2018,10,81,47,24,1,3,HEAVY,SB
