FID,Id,OID_,Id_1,Rock_Size,Bottom_to_,Value,COUNT,MIN,MAX,MEAN,sqft,sgmnt_id,element_id
63,64,177,64,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,1,-0.468412280080000,-0.468412280080000,-0.468412280080000,1,11,9b
64,65,178,65,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,2,-0.491224527360000,-0.449723482130000,-0.470474004750000,2,11,9b
65,66,179,66,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,1,-0.472535729410000,-0.472535729410000,-0.472535729410000,1,11,9b
66,67,180,67,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,2,-0.495347857480000,-0.453846931460000,-0.474597394470000,2,11,9b
67,68,0,68,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,272,-2.705003499980000,-2.250224351880000,-2.408836994980000,272,11,9b
68,69,1,69,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,7,-2.335154533390000,-2.252152442930000,-2.293653522220000,7,11,9b
69,70,2,70,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,2,-2.297776937480000,-2.256275892260000,-2.277026414870000,2,11,9b
70,71,3,71,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,1,-2.279088020320000,-2.279088020320000,-2.279088020320000,1,11,9b
71,72,31,72,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,651,-2.248807430270000,-1.750017404560000,-1.988831463680000,651,11,9b
72,73,93,73,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1282,-1.748704671860000,-1.000729799270000,-1.355756303640000,1282,11,9b
73,74,181,74,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,824,-0.499620676040000,-0.344688653950000,-0.430683070740000,824,11,9b
74,75,94,75,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.003299236300000,-1.003299236300000,-1.003299236300000,1,11,9b
75,76,95,76,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.040557384490000,-1.040557384490000,-1.040557384490000,1,11,9b
76,77,96,77,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,129,-1.157201290130000,-1.000471353530000,-1.054692883820000,129,11,9b
77,78,97,78,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.005209207530000,-1.005209207530000,-1.005209207530000,1,11,9b
78,79,98,79,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.005695343020000,-1.005695343020000,-1.005695343020000,1,11,9b
79,80,99,80,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.006181240080000,-1.006181240080000,-1.006181240080000,1,11,9b
80,81,100,81,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.006667375560000,-1.006667375560000,-1.006667375560000,1,11,9b
81,82,148,82,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,6327,-0.999748945240000,-0.500008463860000,-0.802892126540000,6327,11,9b
82,83,32,83,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1,-1.751302719120000,-1.751302719120000,-1.751302719120000,1,11,9b
83,84,101,84,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,996,-1.749871492390000,-1.000234842300000,-1.480960496700000,996,11,9b
84,85,4,85,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,66,-2.458238601680000,-2.251135587690000,-2.315256516140000,66,11,9b
85,86,5,86,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,1,-2.253041982650000,-2.253041982650000,-2.253041982650000,1,11,9b
86,87,33,87,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,796,-2.249059438710000,-1.750154256820000,-2.002717746260000,796,11,9b
87,88,34,88,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,276,-2.249662876130000,-2.125470161440000,-2.196439577190000,276,12,10a
88,89,35,89,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,4,-2.215570449830000,-2.177512168880000,-2.196541368960000,4,12,10a
89,90,6,90,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,350,-2.376497268680000,-2.250198602680000,-2.289232599390000,350,12,10a
90,91,36,91,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1813,-2.249895811080000,-1.750035524370000,-1.965465991850000,1813,12,10a
91,92,102,92,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,2561,-1.749714374540000,-1.000381708150000,-1.464382398040000,2561,12,10a
92,93,149,93,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,1,-0.503114581110000,-0.503114581110000,-0.503114581110000,1,12,10a
93,94,150,94,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,2156,-0.998950243000000,-0.500208020210000,-0.706530080990000,2156,12,10a
94,96,151,96,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,105,-0.509384632110000,-0.500066995620000,-0.503596158260000,105,12,10a
95,97,152,97,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,1,-0.524667859080000,-0.524667859080000,-0.524667859080000,1,12,10a
96,98,153,98,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,77,-0.979075193410000,-0.503257870670000,-0.675966903760000,77,12,10a
97,99,182,99,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,9483,-0.499982953070000,-0.000315189360000,-0.302997605090000,9483,12,10a
98,100,183,100,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,2,-0.023112535480000,-0.007127642630000,-0.015120089050000,2,12,10a
99,101,184,101,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,1,-0.008212566380000,-0.008212566380000,-0.008212566380000,1,12,10a
100,102,154,102,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,1,-0.504248261450000,-0.504248261450000,-0.504248261450000,1,13,10b
101,103,185,103,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,591,-0.499346137050000,-0.098906993870000,-0.326753875730000,591,13,10b
102,104,103,104,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,30,-1.018222332000000,-1.000001430510000,-1.006911222140000,30,13,10b
103,105,155,105,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,6155,-0.999904870990000,-0.500636935230000,-0.788127951310000,6155,13,10b
104,106,104,106,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1326,-1.748836040500000,-1.000072002410000,-1.266605562570000,1326,13,10b
105,107,7,107,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,1,-2.250181913380000,-2.250181913380000,-2.250181913380000,1,13,10b
106,108,8,108,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,23,-2.257939815520000,-2.250065565110000,-2.253218153250000,23,13,10b
107,109,9,109,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,1,-2.253850936890000,-2.253850936890000,-2.253850936890000,1,13,10b
108,110,10,110,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,2,-2.257519960400000,-2.252664327620000,-2.255092144010000,2,13,10b
109,111,11,111,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,4,-2.259478330610000,-2.251477956770000,-2.255426287650000,4,13,10b
110,112,12,112,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,4,-2.259810209270000,-2.252049922940000,-2.255767822270000,4,13,10b
111,113,13,113,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,1,-2.252897500990000,-2.252897500990000,-2.252897500990000,1,13,10b
112,114,14,114,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,1,-2.251696586610000,-2.251696586610000,-2.251696586610000,1,13,10b
113,115,37,115,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1427,-2.249659776690000,-1.750228405000000,-1.967039929630000,1427,13,10b
114,116,15,116,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,33,-2.476026535030000,-2.256852865220000,-2.334839987030000,33,14,11a
115,117,38,117,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,952,-2.228176355360000,-1.750217676160000,-2.002314305110000,952,14,11a
116,118,105,118,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,2078,-1.749514579770000,-1.000565290450000,-1.480554891620000,2078,14,11a
117,119,106,119,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.002429962160000,-1.002429962160000,-1.002429962160000,1,14,11a
118,120,186,120,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,1,-0.493000984190000,-0.493000984190000,-0.493000984190000,1,14,11a
119,121,187,121,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,2,-0.488982915880000,-0.466642856600000,-0.477812886240000,2,14,11a
120,122,188,122,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,165,-0.499815225600000,-0.371719837190000,-0.452658575230000,165,14,11a
121,123,156,123,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,1548,-0.999474763870000,-0.500104904180000,-0.715812123020000,1548,14,11a
122,124,157,124,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,1,-0.517029523850000,-0.517029523850000,-0.517029523850000,1,15,11b
123,125,189,125,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,1871,-0.499940752980000,-0.144960045820000,-0.359419233530000,1871,15,11b
124,126,158,126,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,7442,-0.999495029450000,-0.500191688540000,-0.719997078090000,7442,15,11b
125,127,107,127,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,2904,-1.749255657200000,-1.000187158580000,-1.340959130730000,2904,15,11b
126,128,39,128,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1783,-2.029644727710000,-1.750038862230000,-1.937370263520000,1783,15,11b
127,129,40,129,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1,-1.752873659130000,-1.752873659130000,-1.752873659130000,1,16,12
128,130,41,130,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1986,-2.052772283550000,-1.750046253200000,-1.907075839100000,1986,16,12
129,131,108,131,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,2447,-1.749547719960000,-1.000628948210000,-1.380584516180000,2447,16,12
130,132,190,132,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,43,-0.499863505360000,-0.490498423580000,-0.496709684990000,43,16,12
131,133,159,133,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,7772,-0.999751329420000,-0.500093936920000,-0.656012629780000,7772,16,12
132,134,109,134,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,2906,-1.749546051030000,-1.000475883480000,-1.415173671690000,2906,16,12
133,135,42,135,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1596,-2.124553442000000,-1.750568628310000,-1.965055618970000,1596,16,12
134,136,43,136,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,2047,-2.203048229220000,-1.750194072720000,-1.958332591020000,2047,17,13
135,137,44,137,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1,-1.750626802440000,-1.750626802440000,-1.750626802440000,1,17,13
136,138,45,138,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,58,-1.845236063000000,-1.750016450880000,-1.784108675760000,58,17,13
137,139,160,139,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,8,-0.999110460280000,-0.994415044790000,-0.996606677770000,8,17,13
138,140,110,140,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,6663,-1.749667644500000,-1.000642538070000,-1.331047611450000,6663,17,13
139,141,46,141,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1032,-1.977078437810000,-1.750145912170000,-1.860091870840000,1032,17,13
140,142,47,142,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1573,-2.101006984710000,-1.750560283660000,-1.940813518220000,1573,18,14
141,143,111,143,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,6418,-1.749842166900000,-1.349041700360000,-1.528888587860000,6418,18,14
142,144,48,144,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1462,-2.249677181240000,-1.750009298320000,-2.042844506360000,1462,18,14
143,145,16,145,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,485,-2.509153127670000,-2.250524044040000,-2.351126498290000,485,18,14
144,146,17,146,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,245,-2.419597148900000,-2.250092267990000,-2.309464417670000,245,19,15
145,147,49,147,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1575,-2.249871730800000,-1.750031709670000,-2.029151414240000,1575,19,15
146,148,112,148,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,13411,-1.749983549120000,-1.100111722950000,-1.230175240090000,13411,19,15
147,149,18,149,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,37,-2.298135757450000,-2.252745866780000,-2.272498420770000,37,19,15
148,150,50,150,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1967,-2.247423648830000,-1.750332832340000,-1.953556810590000,1967,19,15
149,151,51,151,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1166,-1.999172687530000,-1.750551223750000,-1.830251036950000,1166,20,16
150,152,113,152,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1770,-1.749670743940000,-1.000366210940000,-1.424319777920000,1770,20,16
151,153,161,153,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,2143,-0.997920036320000,-0.500000715260000,-0.705779404600000,2143,20,16
152,154,191,154,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,5880,-0.499987244610000,-0.208761572840000,-0.365111130110000,5880,20,16
153,155,162,155,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,3837,-0.999916076660000,-0.500050544740000,-0.706659341310000,3837,20,16
154,156,52,156,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,7,-1.777059793470000,-1.751903295520000,-1.761997461320000,7,20,16
155,157,114,157,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,2447,-1.749739408490000,-1.000216960910000,-1.443081945610000,2447,20,16
156,158,53,158,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1099,-1.923970699310000,-1.750646352770000,-1.851715619400000,1099,20,16
157,159,54,159,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1455,-2.174119710920000,-1.750700235370000,-1.949538718220000,1455,21,17
158,160,115,160,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,2348,-1.749649047850000,-1.000053644180000,-1.373073297830000,2348,21,17
159,161,163,161,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,4890,-0.999985456470000,-0.770337820050000,-0.880038970090000,4890,21,17
160,162,116,162,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,3839,-1.749565601350000,-1.000079154970000,-1.318436910780000,3839,21,17
161,163,55,163,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,3471,-2.106476068500000,-1.750010490420000,-1.942467552270000,3471,21,17
162,164,19,164,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,1321,-2.748668432240000,-2.250232934950000,-2.443040517130000,1321,22,18
163,165,56,165,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,3681,-2.249943256380000,-1.750038862230000,-1.941585279940000,3681,22,18
164,166,117,166,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,4579,-1.749928951260000,-1.375918388370000,-1.593696131560000,4579,22,18
165,167,57,167,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1810,-1.993277549740000,-1.750042915340000,-1.854910007370000,1810,22,18
166,168,58,168,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,2514,-2.148410558700000,-1.750041961670000,-1.898987144160000,2514,23,19
167,169,118,169,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,3438,-1.749955415730000,-1.000185012820000,-1.408689474910000,3438,23,19
168,170,164,170,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,10566,-0.999933242800000,-0.649500131610000,-0.831410172990000,10566,23,19
169,171,119,171,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,10833,-1.749548435210000,-1.000125408170000,-1.378832426600000,10833,23,19
170,172,59,172,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,543,-2.249388694760000,-1.750371932980000,-2.012506970600000,543,23,19
171,173,60,173,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1,-2.237203836440000,-2.237203836440000,-2.237203836440000,1,23,19
172,174,20,174,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,1451,-2.569043397900000,-2.250184297560000,-2.407901829310000,1451,23,19
173,175,61,175,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,646,-2.249763488770000,-2.073385953900000,-2.162598257830000,646,23,19
174,176,21,176,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,4009,-2.728208780290000,-2.250145912170000,-2.507854107580000,4009,24,20
175,177,62,177,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,2666,-2.249903678890000,-1.750290870670000,-1.977356421880000,2666,24,20
