obs,date,year,month,day,locality,site,bar,station,quadrat,counter,live_dead,size,count,treatment
158,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,56.6,1,control
159,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,60,1,control
160,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,-999,4,control
161,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,-999,74,control
162,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,-999,6,control
163,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,-999,38,control
164,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,54.9,1,control
165,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,48,1,control
166,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,61.5,1,control
167,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,75.6,1,control
168,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,38.4,1,control
169,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,58.6,1,control
170,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,49.2,1,control
171,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,65.6,1,control
172,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,51,1,control
173,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,54.4,1,control
174,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,43.9,1,control
175,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,41.2,1,control
176,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,39.1,1,control
177,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,49.1,1,control
178,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,100.3,1,control
179,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,77.4,1,control
180,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,54,1,control
181,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,63.1,1,control
182,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,85.1,1,control
183,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,69.4,1,control
184,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,39.2,1,control
185,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,44.7,1,control
186,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,83,1,control
187,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,24.5,1,control
188,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,27,1,control
189,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,26.5,1,control
190,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,56.9,1,control
191,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,69.5,1,control
192,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,72.4,1,control
193,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,41.5,1,control
194,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,47.1,1,control
195,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,47.2,1,control
196,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,70.2,1,control
197,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,50.7,1,control
198,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,61.4,1,control
199,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,46.6,1,control
200,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,51.2,1,control
201,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,37.8,1,control
202,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,78.4,1,control
203,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,60,1,control
204,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,54.9,1,control
205,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,65.2,1,control
206,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,53.8,1,control
207,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,32,1,control
208,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,37.6,1,control
209,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,44,1,control
210,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,51.2,1,control
211,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,33.7,1,control
212,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,44.1,1,control
213,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,76.2,1,control
214,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,26,1,control
215,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,60.8,1,control
216,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,42.8,1,control
217,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,19.9,1,control
218,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,48.5,1,control
219,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,52.5,1,control
220,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,40.8,1,control
221,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,62.4,1,control
222,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,79.1,1,control
223,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,49.2,1,control
224,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,50.1,1,control
225,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,54.5,1,control
226,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,59.1,1,control
227,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,37.1,1,control
228,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,-999,0,control
229,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,45,1,control
230,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,59.8,1,control
231,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,31.7,1,control
232,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,39,1,control
233,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,67,1,control
234,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,48,1,control
235,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,32,1,control
236,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,28,1,control
237,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,27.5,1,control
238,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,30,1,control
239,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,39.6,1,control
240,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,47.5,1,control
241,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,82,1,control
242,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,41,1,control
243,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,33.4,1,control
244,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,-999,0,control
245,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,60,1,control
246,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,46,1,control
247,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,33.5,1,control
248,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,34.5,1,control
249,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,43,1,control
250,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,54.7,1,control
251,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,65.7,1,control
252,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,56.6,1,control
253,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,56.4,1,control
254,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,57.6,1,control
255,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,47,1,control
256,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,47,1,control
257,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,34.5,1,control
258,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,37.8,1,control
259,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,43.2,1,control
260,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,42,1,control
261,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,20,1,control
262,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,-999,0,control
263,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,-999,0,control
264,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,86.5,1,control
265,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,35,1,control
266,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,67.7,1,control
267,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,D,20.5,1,control
268,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,39,1,control
269,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,41.7,1,control
270,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,55,1,control
271,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,28.4,1,control
272,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,40.4,1,control
273,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,45,1,control
274,5/24/2010,2010,5,24,CR,N,2,CRN2,-999,FREDRICK/SEAVY,L,26.4,1,control
275,5/24/2010,2010,5,24,CR,N,3,CRN3,-999,NA,D,-999,0,control
276,5/24/2010,2010,5,24,CR,N,3,CRN3,-999,NA,L,18,1,control
277,5/24/2010,2010,5,24,CR,N,3,CRN3,-999,NA,L,61,1,control
278,5/24/2010,2010,5,24,CR,N,3,CRN3,-999,NA,L,33,0,control
279,5/24/2010,2010,5,24,CR,N,3,CRN3,-999,NA,D,67,1,control
280,5/24/2010,2010,5,24,CR,N,3,CRN3,-999,NA,D,26,1,control
281,5/24/2010,2010,5,24,CR,N,3,CRN3,-999,NA,D,39,1,control
282,5/24/2010,2010,5,24,CR,N,3,CRN3,-999,NA,D,25,1,control
283,5/24/2010,2010,5,24,CR,N,3,CRN3,-999,NA,L,56,1,control
284,5/24/2010,2010,5,24,CR,N,3,CRN3,-999,NA,L,46,1,control
