Sample_Date,latitude,longitude,Recorder,Station,Number,Mt_dry_start_date,Mt_dry_start_time,Mt_dry_temp_C,sh_dry_temp_C,Height_mm,Length_mm,Width_mm,Whole_wet_wt_g,Wet_shell_wt_g,Dry_shell_wt_48,Tray_wt_g,Wet_mt_weight_g,Dry_wt_24,Dry_wt_48,Dry_wt_72,Dry_wt_96,Dry_wt_120,Dry_wt_144,Notes
2/2/2018,,,SB,DI,11,2/9/2018,1200,100,23.9,73,53,24,43.3975,31.2748,28.8959,1.2875,12.9508,3.3565,3.3183,3.3087,3.3019,3.2987,3.295,
2/2/2018,,,SB,DI,12,2/9/2018,1200,100,23.9,73,50,32,61.0041,47.2791,43.3609,1.2792,14.2257,3.4258,3.4031,3.396,3.3897,3.3875,3.383,
2/2/2018,,,SB,DI,13,2/9/2018,1200,100,23.9,75,53,31,58.0485,44.5317,42.2985,1.2699,14.0153,3.7107,3.6841,3.6747,3.6671,3.6642,3.6599,
2/2/2018,,,SB,DI,14,2/9/2018,1200,100,23.9,68,51,29,64.1957,55.8013,53.5555,1.2828,9.1035,2.694,2.685,2.6822,2.6787,2.678,2.6756,
2/2/2018,,,SB,DI,15,2/9/2018,1200,100,23.9,74,46,27,38.8,25.7828,24.1343,1.2761,13.1344,2.9388,2.9228,2.9181,2.9135,2.9121,2.9092,
2/2/2018,,,SB,DI,16,2/9/2018,1200,100,23.9,70,44,22,31.5717,24.8914,22.9386,1.2823,7.5068,2.3555,2.3478,2.3458,2.3429,2.3415,2.3397,
2/2/2018,,,SB,DI,17,2/9/2018,1200,100,23.9,82,38,23,45.8702,33.7268,31.5396,1.2779,12.7832,2.9025,2.8867,2.8818,2.8767,2.8749,2.8724,
2/2/2018,,,SB,DI,18,2/9/2018,1200,100,23.9,81,43,22,48.816,37.4571,31.8355,1.2834,11.6143,3.0039,2.9835,2.976,2.9703,2.9681,2.9655,
2/2/2018,,,SB,DI,19,2/9/2018,1200,100,23.9,85,42,18,36.8678,25.2317,24.0979,1.2809,12.4796,2.8895,2.8741,2.8687,2.863,2.8615,2.8583,
2/2/2018,,,SB,DI,20,2/9/2018,1200,100,23.9,90,39,24,40.5978,28.2488,26.9722,1.2824,13.1825,3.1457,3.1193,3.1105,3.1041,3.1007,3.0973,
2/2/2018,,,SB,DI,21,2/9/2018,1200,100,23.9,65,45,33,64.176,55.3494,50.3063,1.2799,9.2651,2.3705,2.3647,2.3624,2.36,2.3583,2.3563,
2/2/2018,,,SB,DI,22,2/9/2018,1200,100,23.9,83,53,20,38.7169,26.9631,25.3444,1.2739,12.3144,3.3135,3.2977,3.2934,3.288,3.2857,3.283,Gap
2/2/2018,,,SB,DI,23,2/9/2018,1200,100,23.9,58,43,22,24.6349,17.5981,15.4698,1.2787,8.0033,2.5212,2.5118,2.5084,2.5053,2.5036,2.5017,
2/2/2018,,,SB,DI,24,2/9/2018,1200,100,23.9,57,43,15,20.1384,14.9294,13.488,1.2809,6.0406,2.0404,2.0349,2.033,2.0313,2.0301,2.0287,
2/2/2018,,,SB,DI,25,2/9/2018,1200,100,23.9,52,45,24,27.4554,21.86,18.3296,1.2804,6.2275,2.0643,2.0578,2.055,2.0527,2.0513,2.0501,
2/2/2018,,,SB,DI,26,2/9/2018,1200,100,23.9,59,40,12,24.737,20.2478,16.5175,1.2762,5.2092,1.8202,1.8164,1.8149,1.8131,1.8126,1.8112,
2/2/2018,,,SB,DI,27,2/9/2018,1200,100,23.9,86,40,22,34.8604,25,23.7737,1.2871,10.7544,2.7217,2.7034,2.6981,2.6936,2.6918,2.6892,
2/2/2018,,,SB,DI,28,2/9/2018,1200,100,23.9,72,42,17,24.7812,18.4412,17.4911,1.2769,7.367,2.226,2.217,2.2149,2.2122,2.211,2.2092,
2/2/2018,,,SB,DI,29,2/9/2018,1350,100,23.9,63,28,17,14.9065,11.0706,10.6497,1.2747,4.4695,1.8291,1.8237,1.8218,1.8197,1.8186,1.8177,
2/2/2018,,,SB,DI,30,2/9/2018,1350,100,23.9,57,41,20,22.0169,17.713,15.4398,1.2719,4.936,1.97,1.9616,1.9594,1.9566,1.9555,1.9547,
2/2/2018,,,SB,DI,31,2/9/2018,1350,100,23.9,55,30,13,11.538,8.5199,8.1595,1.2622,3.6903,1.6129,1.6094,1.6094,1.6062,1.6057,1.6051,
2/2/2018,,,SB,DI,32,2/9/2018,1350,100,23.9,57,41,18,21.001,16.6258,15.8827,1.2874,4.6771,1.9022,1.8979,1.8965,1.8938,1.893,1.8919,gap
2/2/2018,,,SB,DI,33,2/9/2018,1350,100,23.9,51,42,20,19.5476,13.157,12.1467,1.2728,7.1081,2.1832,2.1752,2.1725,2.1691,2.1676,2.1666,
2/2/2018,,,SB,DI,34,2/9/2018,1350,100,23.9,49,33,19,14.0794,9.6783,9.2967,1.2863,5.0718,1.9038,1.8994,1.8982,1.8958,1.8953,1.894,gap
2/2/2018,,,SB,DI,35,2/9/2018,1350,100,23.9,51,46,20,14.4578,10.764,10.1634,1.2821,4.5964,1.8721,1.8651,1.8629,1.8601,1.8598,1.8583,
2/2/2018,,,SB,DI,36,2/9/2018,1350,100,23.9,60,27,15,11.3968,7.9688,7.5466,1.2916,4.2195,1.7724,1.7668,1.7653,1.7632,1.7625,1.7619,
2/2/2018,,,SB,DI,37,2/9/2018,1350,100,23.9,47,35,15,15.5827,12.7184,11.6046,1.2785,3.5793,1.5772,1.5761,1.5754,1.5745,1.5749,1.5743,
2/2/2018,,,SB,DI,38,2/9/2018,1350,100,23.9,47,22,17,8.4357,6.2021,5.8717,1.2859,3.1902,1.6242,1.621,1.6198,1.6186,1.6187,1.618,gap
2/2/2018,,,SB,DI,39,2/9/2018,1350,100,23.9,55,37,22,19.29,13.4409,12.5799,1.2815,6.3521,2.0787,2.0701,2.0679,2.0638,2.0626,2.0616,gap
2/2/2018,,,SB,DI,40,2/9/2018,1350,100,23.9,49,27,16,10.6728,7.3753,6.7414,1.2846,3.618,1.6375,1.6351,1.6348,1.6328,1.6327,1.6319,
2/2/2018,,,SB,DI,41,2/9/2018,1350,100,23.9,50,25,16,7.879,5.7209,5.4233,1.2788,3.1117,1.5721,1.5696,1.5693,1.5684,1.5683,1.5672,
2/2/2018,,,SB,DI,42,2/9/2018,1350,100,23.9,61,38,19,17.4572,13.5386,12.7536,1.2812,4.6269,1.8913,1.8862,1.8847,1.8827,1.8812,1.8804,
2/2/2018,,,SB,DI,43,2/9/2018,1350,100,23.9,39,27,11,6.0814,4.2361,4.1097,1.2651,2.646,1.492,1.4906,1.4904,1.4896,1.489,1.4887,
2/2/2018,,,SB,DI,44,2/9/2018,1350,100,23.9,27,20,8,3.0977,2.321,2.2226,1.2841,1.8588,1.3781,1.3776,1.3775,1.3776,1.3775,1.3766,
2/2/2018,,,SB,DI,45,2/9/2018,1350,100,23.9,59,26,13,13.919,10.1315,9.5277,1.2691,4.7289,1.8235,1.8153,1.8135,1.8113,1.8102,1.8091,
2/2/2018,,,SB,DI,46,2/9/2018,1350,100,23.9,56,37,16,14.7332,10.0808,9.5774,1.2798,5.5066,1.8961,1.8875,1.8848,1.8809,1.8793,1.8779,gap
2/2/2018,,,SB,DI,47,2/9/2018,1350,100,23.9,39,30,21,10.8852,8.8547,9.3269,1.292,3.0205,1.5616,1.56,1.56,1.5584,1.558,1.5574,gap
2/2/2018,,,SB,DI,48,2/9/2018,1350,100,23.9,42,35,8,6.3376,4.6855,4.4502,1.2826,2.7047,1.4825,1.4815,1.4807,1.4801,1.4788,1.479,gap
2/2/2018,,,SB,DI,49,2/9/2018,1350,100,23.9,50,31,11,6.8392,6.7452,6.4559,1.2801,3.5954,1.6218,1.6191,1.6182,1.6171,1.6162,1.6155,gap
2/2/2018,,,SB,DI,50,2/9/2018,1350,100,23.9,50,25,14,14.1321,9.9023,9.2122,1.2769,5.2908,2.0009,1.9899,1.9866,1.9835,1.9816,1.9804,gap
2/2/2018,,,SB,DI,51,2/9/2018,1350,100,23.9,52,25,15,8.1374,6.0977,5.7904,1.2671,3.1147,1.5205,1.5189,1.5185,1.518,1.5169,1.5166,
2/2/2018,,,SB,DI,52,2/9/2018,1350,100,23.9,31,25,10,3.2866,2.4103,2.2792,1.2797,1.9821,1.3944,1.3938,1.3936,1.3931,1.3926,1.3924,
2/2/2018,,,SB,DI,53,2/9/2018,1350,100,23.9,41,23,12,6.5644,4.5152,4.2284,1.274,3.0678,1.5183,1.5157,1.515,1.5145,1.513,1.513,
2/2/2018,,,SB,DI,54,2/9/2018,1350,100,23.9,42,25,13,7.2288,4.7749,4.4891,1.281,3.5404,1.5955,1.5931,1.5921,1.5911,1.5897,1.5893,gap
2/2/2018,,,SB,DI,55,2/9/2018,1350,100,23.9,35,27,12,7.9312,6.2839,5.4944,1.2866,2.6713,1.5147,1.5138,1.513,1.5125,1.5117,1.5116,
2/2/2018,,,SB,DI,56,2/9/2018,1350,100,23.9,30,20,10,3.7938,2.775,2.5282,1.2674,2.1935,1.4214,1.4209,1.4202,1.4203,1.4195,1.4192,
2/2/2018,,,SB,DI,57,2/9/2018,1350,100,23.9,80,47,,,,,1.2785,12.104,2.9068,2.8781,2.8681,2.8583,2.854,2.8508,cluster
2/2/2018,,,SB,DI,58,2/9/2018,1350,100,23.9,73,36,,,,,1.2777,11.5227,3.0427,3.0087,2.9998,2.9916,2.9874,2.9852,cluster
2/2/2018,,,SB,DI,59,2/9/2018,1350,100,23.9,64,34,,,,,1.2717,6.4434,2.1855,2.1769,2.1747,2.1713,2.1697,2.1682,cluster
2/2/2018,,,SB,DI,60,2/9/2018,1350,100,23.9,65,37,,,,,1.2839,4.8021,1.9025,1.8985,1.8972,1.8952,1.8944,1.8934,cluster
2/2/2018,,,SB,DI,61,2/9/2018,1350,100,23.9,64,42,,,,,1.2735,7.9597,2.438,2.4244,2.4194,2.4148,2.4126,2.4104,cluster
2/2/2018,,,SB,DI,62,2/9/2018,1350,100,23.9,63,35,,,,,1.2871,5.9098,2.0571,2.0526,2.0508,2.0488,2.0477,2.0467,cluster
2/2/2018,,,SB,DI,63,2/9/2018,1350,100,23.9,47,35,,,,,1.2696,4.5978,1.8793,1.8731,1.8702,1.868,1.867,1.8662,cluster
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
