,X,FID,FID_wildre,Id,FID_reefma,Id_1,Harvest,Locality,Site,POLY_AREA,Bar,Quartile,POINT_X,POINT_Y,station,label,quadrat
34,34,2638,888807,0,10,0,yes,LC,I,1042.858829,8,1,298831.4375,3236096.733,LCI8,LCI8 2,2
35,35,2771,894267,0,10,0,yes,LC,I,1042.858829,8,1,298841.4375,3236106.733,LCI8,LCI8 3,3
36,36,2560,884439,0,10,0,yes,LC,I,1042.858829,8,1,298823.4375,3236088.733,LCI8,LCI8 4,4
37,37,3295,1221402,0,7,0,yes,LC,N,1935.093966,3,1,298511.4375,3236706.733,LCN3,LCN3 1,1
38,38,3306,1221413,0,7,0,yes,LC,N,1935.093966,3,1,298533.4375,3236706.733,LCN3,LCN3 2,2
39,39,3614,1235580,0,7,0,yes,LC,N,1935.093966,3,1,298501.4375,3236732.733,LCN3,LCN3 3,3
40,40,3579,1233405,0,7,0,yes,LC,N,1935.093966,3,1,298515.4375,3236728.733,LCN3,LCN3 4,4
41,41,3751,1267318,0,8,0,yes,LC,N,720.9243809,7,4,298699.4375,3236790.733,LCN7,LCN7 1,1
42,42,3821,1274955,0,8,0,yes,LC,N,720.9243809,7,4,298699.4375,3236804.733,LCN7,LCN7 2,2
43,43,3757,1268405,0,8,0,yes,LC,N,720.9243809,7,4,298691.4375,3236792.733,LCN7,LCN7 3,3
44,44,3750,1267317,0,8,0,yes,LC,N,720.9243809,7,4,298697.4375,3236790.733,LCN7,LCN7 4,4
45,45,2914,1105737,0,9,0,yes,LC,N,1524.02246,8,1,298473.4375,3236494.733,LCN8,LCN8 1,1
46,46,3021,1118859,0,9,0,yes,LC,N,1524.02246,8,1,298533.4375,3236518.733,LCN8,LCN8 2,2
47,47,2902,1103555,0,9,0,yes,LC,N,1524.02246,8,1,298473.4375,3236490.733,LCN8,LCN8 3,3
48,48,3186,1139627,0,9,0,yes,LC,N,1524.02246,8,1,298611.4375,3236556.733,LCN8,LCN8 4,4
49,49,4604,2160567,0,3,0,no,LT,I,143.3596617,1,2,298139.4375,3238428.733,LTI1,LTI1 1,1
50,50,4589,2158384,0,3,0,no,LT,I,143.3596617,1,2,298137.4375,3238424.733,LTI1,LTI1 2,2
51,51,4597,2159476,0,3,0,no,LT,I,143.3596617,1,2,298139.4375,3238426.733,LTI1,LTI1 3,3
52,52,4601,2160564,0,3,0,no,LT,I,143.3596617,1,2,298133.4375,3238428.733,LTI1,LTI1 4,4
53,53,5011,2232605,0,5,0,no,LT,I,1096.851992,5,3,298203.4375,3238560.733,LTI5,LTI5 1,1
54,54,5054,2235888,0,5,0,no,LT,I,1096.851992,5,3,298223.4375,3238566.733,LTI5,LTI5 2,2
55,55,4896,2221708,0,5,0,no,LT,I,1096.851992,5,3,298229.4375,3238540.733,LTI5,LTI5 3,3
56,56,5026,2233696,0,5,0,no,LT,I,1096.851992,5,3,298203.4375,3238562.733,LTI5,LTI5 4,4
57,57,4694,2204250,0,4,0,no,LT,I,672.4937845,6,3,298225.4375,3238508.733,LTI6,LTI6 1,1
58,58,4739,2208607,0,4,0,no,LT,I,672.4937845,6,3,298211.4375,3238516.733,LTI6,LTI6 2,2
59,59,4705,2205339,0,4,0,no,LT,I,672.4937845,6,3,298221.4375,3238510.733,LTI6,LTI6 3,3
60,60,4733,2207523,0,4,0,no,LT,I,672.4937845,6,3,298225.4375,3238514.733,LTI6,LTI6 4,4
61,61,4436,1526915,0,6,0,no,NN,I,2673.721465,1,2,298577.4375,3237266.733,NNI1,NNI1 1,1
62,62,3979,1487581,0,6,0,no,NN,I,2673.721465,1,2,298461.4375,3237194.733,NNI1,NNI1 2,2
63,63,4188,1498518,0,6,0,no,NN,I,2673.721465,1,2,298515.4369,3237214.734,NNI1,NNI1 3,3
64,64,4125,1494129,0,6,0,no,NN,I,2673.721465,1,2,298465.4375,3237206.733,NNI1,NNI1 4,4
