,FID,FID_wildre,Id,FID_reefma,Id_1,Harvest,Locality,Site,POLY_AREA,Bar,Quartile,POINT_X,POINT_Y,station
24,192,353964,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235116.733,LCI19
25,820,718639,0,13,0,yes,LC,I,2700.90951,2,4,298887.4375,3235784.733,LCI2
26,448,698981,0,13,0,yes,LC,I,2700.90951,2,4,298847.4375,3235748.733,LCI2
27,770,716450,0,13,0,yes,LC,I,2700.90951,2,4,298873.4375,3235780.733,LCI2
28,667,712069,0,13,0,yes,LC,I,2700.90951,2,4,298839.4375,3235772.733,LCI2
29,1682,822263,0,11,0,yes,LC,I,756.8899547,6,2,298845.4375,3235974.733,LCI6
30,1874,829895,0,11,0,yes,LC,I,756.8899547,6,2,298835.4375,3235988.733,LCI6
31,1995,834271,0,11,0,yes,LC,I,756.8899547,6,2,298859.4375,3235996.733,LCI6
32,2027,836442,0,11,0,yes,LC,I,756.8899547,6,2,298837.4375,3236000.733,LCI6
33,2824,897541,0,10,0,yes,LC,I,1042.858829,8,1,298843.4375,3236112.733,LCI8
34,2638,888807,0,10,0,yes,LC,I,1042.858829,8,1,298831.4375,3236096.733,LCI8
35,2771,894267,0,10,0,yes,LC,I,1042.858829,8,1,298841.4375,3236106.733,LCI8
36,2560,884439,0,10,0,yes,LC,I,1042.858829,8,1,298823.4375,3236088.733,LCI8
37,3295,1221402,0,7,0,yes,LC,N,1935.093966,3,1,298511.4375,3236706.733,LCN3
38,3306,1221413,0,7,0,yes,LC,N,1935.093966,3,1,298533.4375,3236706.733,LCN3
39,3614,1235580,0,7,0,yes,LC,N,1935.093966,3,1,298501.4375,3236732.733,LCN3
40,3579,1233405,0,7,0,yes,LC,N,1935.093966,3,1,298515.4375,3236728.733,LCN3
41,3751,1267318,0,8,0,yes,LC,N,720.9243809,7,4,298699.4375,3236790.733,LCN7
42,3821,1274955,0,8,0,yes,LC,N,720.9243809,7,4,298699.4375,3236804.733,LCN7
43,3757,1268405,0,8,0,yes,LC,N,720.9243809,7,4,298691.4375,3236792.733,LCN7
44,3750,1267317,0,8,0,yes,LC,N,720.9243809,7,4,298697.4375,3236790.733,LCN7
45,2914,1105737,0,9,0,yes,LC,N,1524.02246,8,1,298473.4375,3236494.733,LCN8
46,3021,1118859,0,9,0,yes,LC,N,1524.02246,8,1,298533.4375,3236518.733,LCN8
47,2902,1103555,0,9,0,yes,LC,N,1524.02246,8,1,298473.4375,3236490.733,LCN8
48,3186,1139627,0,9,0,yes,LC,N,1524.02246,8,1,298611.4375,3236556.733,LCN8
49,4604,2160567,0,3,0,no,LT,I,143.3596617,1,2,298139.4375,3238428.733,LTI1
50,4589,2158384,0,3,0,no,LT,I,143.3596617,1,2,298137.4375,3238424.733,LTI1
51,4597,2159476,0,3,0,no,LT,I,143.3596617,1,2,298139.4375,3238426.733,LTI1
52,4601,2160564,0,3,0,no,LT,I,143.3596617,1,2,298133.4375,3238428.733,LTI1
53,5011,2232605,0,5,0,no,LT,I,1096.851992,5,3,298203.4375,3238560.733,LTI5
54,5054,2235888,0,5,0,no,LT,I,1096.851992,5,3,298223.4375,3238566.733,LTI5
55,4896,2221708,0,5,0,no,LT,I,1096.851992,5,3,298229.4375,3238540.733,LTI5
56,5026,2233696,0,5,0,no,LT,I,1096.851992,5,3,298203.4375,3238562.733,LTI5
57,4694,2204250,0,4,0,no,LT,I,672.4937845,6,3,298225.4375,3238508.733,LTI6
58,4739,2208607,0,4,0,no,LT,I,672.4937845,6,3,298211.4375,3238516.733,LTI6
59,4705,2205339,0,4,0,no,LT,I,672.4937845,6,3,298221.4375,3238510.733,LTI6
60,4733,2207523,0,4,0,no,LT,I,672.4937845,6,3,298225.4375,3238514.733,LTI6
61,4436,1526915,0,6,0,no,NN,I,2673.721465,1,2,298577.4375,3237266.733,NNI1
62,3979,1487581,0,6,0,no,NN,I,2673.721465,1,2,298461.4375,3237194.733,NNI1
63,4188,1498518,0,6,0,no,NN,I,2673.721465,1,2,298515.4369,3237214.734,NNI1
64,4125,1494129,0,6,0,no,NN,I,2673.721465,1,2,298465.4375,3237206.733,NNI1
