station,date_dep,date_ret,date_prc,month,year,side,cnt,mx_mm1,mx_mm2,mx_mm3,barnacle,recorder
WQ6,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,SIDE,0,-999,-999,-999,LIGHT,SL
WQ7,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,TOP,0,-999,-999,-999,LIGHT,SL
WQ7,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,BOTTOM,50,4,3,2,LIGHT,SL
WQ7,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,SIDE,0,-999,-999,-999,NONE,SL
WQ8,7/9/2018,9/5/2018,8/15/2018,JULY,2018,TOP,115,8,5,5,LIGHT,SL
WQ8,7/9/2018,9/5/2018,8/15/2018,JULY,2018,BOTTOM,452,16,9,8,LIGHT,SL
WQ8,7/9/2018,9/5/2018,8/15/2018,JULY,2018,SIDE,2,1,1,,NONE,SL
WQ9,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,TOP,0,-999,-999,-999,MODERATE,SL
WQ9,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,BOTTOM,12,12,7,6,HEAVY,SL
WQ9,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,SIDE,0,-999,-999,-999,HEAVY,SL
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
