Number,Date,Time,Latitude,Longitude,Altitude,Geoidal Separation,Speed,Heading True,Heading Magnetic,HDOP,VDOP,PDOP,EHE,Fix Quality,Fix Type,Satellites,Description
33,2/21/2019,46:16.0,29.26012581,-83.11055749,0.133,-29.154,0.04,330.74,336.22,0.7,1.1,1.3,0.204,DGPS,2,17,LCO9C_4_end
34,2/21/2019,46:48.0,29.26013463,-83.11054961,0.106,-29.154,0.07,335.5,340.98,0.7,1.1,1.3,0.203,DGPS,2,17,LCO9C_5_end
44,3/5/2019,00:33.0,29.23394635,-83.09367757,0.544,-29.13,0.05,284.33,289.83,0.6,1,1.2,0.184,DGPS,2,17,LCO21_1_start
45,3/5/2019,00:59.0,29.23395301,-83.0936609,0.585,-29.13,0.05,123.89,129.38,0.6,1,1.2,0.185,DGPS,2,17,LCO21_2_start
46,3/5/2019,01:24.0,29.23397031,-83.09362094,0.65,-29.13,0.1,215.35,220.84,0.6,1,1.2,0.186,DGPS,2,17,LCO21_3_start
47,3/5/2019,02:20.0,29.23376541,-83.09357483,0.422,-29.13,0.03,62.83,68.32,0.7,1.1,1.2,0.201,DGPS,2,16,LCO21_1_end
48,3/5/2019,02:52.0,29.23377053,-83.09355489,0.727,-29.13,0.07,206.83,212.32,0.7,1.1,1.2,0.201,DGPS,2,16,LCO21_2_end
49,3/5/2019,03:15.0,29.23378769,-83.09351795,0.842,-29.13,0.07,194.53,200.02,0.6,1,1.2,0.185,DGPS,2,17,LCO21_3_end
50,3/5/2019,07:33.0,29.23290795,-83.09307409,-0.022,-29.129,0.05,254.32,259.81,0.7,1.1,1.3,0.216,DGPS,2,16,LCO21_4_start
51,3/5/2019,08:04.0,29.23292959,-83.09301792,0.541,-29.129,0.1,25.95,31.44,0.7,1.1,1.3,0.224,DGPS,2,16,LCO21_5_start
52,3/5/2019,08:25.0,29.23293561,-83.09300279,0.73,-29.129,0.05,340.67,346.16,0.7,1.1,1.3,0.225,DGPS,2,16,LCO21_6_start
53,3/5/2019,09:20.0,29.23273146,-83.09296464,0.309,-29.129,0.03,13.15,18.64,0.7,1.1,1.3,0.214,DGPS,2,16,LCO21_4_end
54,3/5/2019,09:45.0,29.23275408,-83.09290911,0.595,-29.129,0.01,155.68,161.17,0.7,1.1,1.3,0.252,DGPS,2,16,LCO21_5_end
55,3/5/2019,10:05.0,29.23276527,-83.09289346,0.683,-29.129,0.03,251.16,256.65,0.7,1.1,1.3,0.202,DGPS,2,16,LCO21_6_end
56,3/5/2019,16:21.0,29.2367641,-83.09526596,0.727,-29.132,0.01,271.08,276.57,0.9,1.4,1.7,0.264,DGPS,2,13,LCO20_1_start
57,3/5/2019,16:42.0,29.23677581,-83.09524872,0.367,-29.132,0.07,9.46,14.95,0.8,1.3,1.5,0.252,DGPS,2,13,LCO20_2_start
58,3/5/2019,17:07.0,29.23678363,-83.09522885,0.355,-29.133,0.09,114.78,120.27,0.8,1.2,1.5,0.245,DGPS,2,14,LCO20_3_start
59,3/5/2019,17:59.0,29.23658555,-83.09514419,0.452,-29.132,0.12,340.23,345.72,0.8,1.2,1.5,0.245,DGPS,2,14,LCO20_1_end
60,3/5/2019,18:28.0,29.2365924,-83.09512508,0.518,-29.132,0.06,277.46,282.95,0.8,1.2,1.5,0.245,DGPS,2,14,LCO20_2_end
61,3/5/2019,18:55.0,29.23660083,-83.0951073,0.649,-29.132,0.04,259.29,264.79,0.7,1.1,1.3,0.213,DGPS,2,15,LCO20_3_end
62,3/5/2019,24:01.0,29.24153887,-83.09733512,0.505,-29.137,0.11,310.01,315.5,0.7,1.2,1.4,0.224,DGPS,2,14,LCO19_1_start
63,3/5/2019,24:21.0,29.24155014,-83.09731812,0.725,-29.138,0.02,276.46,281.95,0.7,1.1,1.4,0.224,DGPS,2,14,LCO19_2_start
64,3/5/2019,24:45.0,29.2415599,-83.09730216,0.533,-29.138,0.02,312.28,317.77,0.7,1.1,1.4,0.224,DGPS,2,14,LCO19_3_start
65,3/5/2019,25:05.0,29.24156757,-83.0972821,0.738,-29.138,0.03,109.91,115.4,0.7,1.1,1.3,0.213,DGPS,2,15,LCO19_4_start
66,3/5/2019,25:27.0,29.24157446,-83.09726387,0.631,-29.138,0.05,51.32,56.81,0.7,1.1,1.3,0.213,DGPS,2,15,LCO19_5_start
67,3/5/2019,26:22.0,29.24135509,-83.09721116,0.776,-29.137,0,269.23,274.72,0.7,1.1,1.3,0.213,DGPS,2,15,LCO19_1_end
68,3/5/2019,26:42.0,29.24136549,-83.09719227,0.808,-29.137,0.04,268.74,274.23,0.7,1.1,1.3,0.213,DGPS,2,15,LCO19_2_end
69,3/5/2019,27:08.0,29.24137678,-83.09717363,1.041,-29.137,0.07,221.34,226.83,0.7,1.1,1.3,0.213,DGPS,2,15,LCO19_3_end
70,3/5/2019,27:30.0,29.24138347,-83.09715641,0.992,-29.137,0.03,318.13,323.62,0.7,1.1,1.3,0.213,DGPS,2,15,LCO19_4_end
71,3/5/2019,27:51.0,29.24139235,-83.09713576,0.93,-29.137,0.02,269.75,275.24,0.7,1.1,1.3,0.213,DGPS,2,15,LCO19_5_end
72,3/5/2019,31:48.0,29.24514329,-83.09964374,1.196,-29.141,0,303.4,308.89,0.7,1.1,1.3,0.217,DGPS,2,15,LCO17_1_start
73,3/5/2019,32:12.0,29.24515419,-83.09960562,1.291,-29.141,0.04,28.36,33.85,0.7,1.1,1.3,0.213,DGPS,2,15,LCO17_2_start
74,3/5/2019,33:01.0,29.24494319,-83.09958468,1.293,-29.141,0.05,304.42,309.91,0.7,1.1,1.3,0.213,DGPS,2,15,LCO17_1_end
75,3/5/2019,33:25.0,29.24495337,-83.09954401,1.136,-29.141,0.06,110.08,115.58,0.7,1.1,1.3,0.213,DGPS,2,15,LCO17_2_end
76,3/5/2019,37:58.0,29.25031158,-83.10034233,1.453,-29.147,0.03,351.44,356.93,0.7,1.3,1.5,0.225,DGPS,2,14,LCO16_1_start
77,3/5/2019,38:45.0,29.25013505,-83.10020684,1.138,-29.147,0.05,242.62,248.11,0.7,1.3,1.5,0.225,DGPS,2,14,LCO16_1_end
78,3/5/2019,44:19.0,29.25216244,-83.102196,1.265,-29.148,0.06,34.2,39.69,0.8,1.2,1.5,0.226,DGPS,2,14,LCO15_1_start
79,3/5/2019,44:41.0,29.25217203,-83.10217576,1.509,-29.149,0.03,120.58,126.07,0.8,1.5,1.7,0.237,DGPS,2,13,LCO15_2_start
80,3/5/2019,45:05.0,29.252189,-83.10216523,1.432,-29.149,0.08,84.35,89.84,0.8,1.5,1.7,0.237,DGPS,2,13,LCO15_3_start
81,3/5/2019,45:31.0,29.25219749,-83.10214308,1.607,-29.149,0.01,9.78,15.27,0.8,1.5,1.7,0.237,DGPS,2,13,LCO15_4_start
82,3/5/2019,46:03.0,29.2522048,-83.10212146,1.514,-29.149,0.02,287.46,292.95,0.8,1.2,1.5,0.226,DGPS,2,14,LCO15_5_start
83,3/5/2019,46:58.0,29.25201244,-83.10204155,1.31,-29.148,0.08,46.8,52.29,0.8,1.3,1.5,0.226,DGPS,2,14,LCO15_1_end
84,3/5/2019,47:20.0,29.25202249,-83.10203106,1.103,-29.148,0.01,48.86,54.35,0.8,1.3,1.5,0.226,DGPS,2,14,LCO15_2_end
85,3/5/2019,47:43.0,29.25204078,-83.10201848,1.127,-29.148,0.06,328.56,334.05,0.8,1.3,1.5,0.226,DGPS,2,14,LCO15_3_end
86,3/5/2019,48:04.0,29.25204651,-83.10199281,1.183,-29.148,0.05,171.5,176.99,0.8,1.3,1.5,0.226,DGPS,2,14,LCO15_4_end
87,3/5/2019,48:32.0,29.25204954,-83.10197183,1.197,-29.148,0.07,302.05,307.54,0.8,1.3,1.5,0.226,DGPS,2,14,LCO15_5_end
88,3/5/2019,49:39.0,29.25174654,-83.10176982,1.264,-29.148,0.03,274.89,280.38,0.8,1.3,1.5,0.24,DGPS,2,13,LCO15_6_start
89,3/5/2019,50:10.0,29.25178497,-83.10172824,1.309,-29.148,0.03,187.71,193.2,0.8,1.3,1.5,0.226,DGPS,2,14,LCO15_7_start
90,3/5/2019,50:41.0,29.25179955,-83.10171165,1.063,-29.148,0.04,68.12,73.61,0.8,1.3,1.5,0.226,DGPS,2,14,LCO15_8_start
91,3/5/2019,51:35.0,29.25158529,-83.10160775,1.037,-29.148,0.14,323.79,329.28,0.8,1.3,1.5,0.226,DGPS,2,14,LCO15_6_end
92,3/5/2019,51:57.0,29.25162295,-83.10156714,0.842,-29.148,0.08,322.84,328.33,0.8,1.3,1.5,0.226,DGPS,2,14,LCO15_7_end
93,3/5/2019,52:21.0,29.2516361,-83.10155101,0.699,-29.148,0.25,62.27,67.76,0.8,1.3,1.5,0.226,DGPS,2,14,LCO15_8_end
94,3/5/2019,56:05.0,29.2526711,-83.10298983,0.487,-29.149,0.01,212.03,217.52,0.8,1.3,1.5,0.226,DGPS,2,14,LCO14_1_start
95,3/5/2019,56:29.0,29.25268429,-83.10297655,0.388,-29.149,0.06,74.13,79.62,0.8,1.4,1.6,0.241,DGPS,2,13,LCO14_2_start
96,3/5/2019,56:49.0,29.25270307,-83.10295529,0.716,-29.149,0.04,192.84,198.33,0.7,1.2,1.4,0.221,DGPS,2,15,LCO14_3_start
97,3/5/2019,57:54.0,29.25252203,-83.10281879,0.732,-29.149,0.03,296.18,301.67,0.7,1.2,1.4,0.221,DGPS,2,15,LCO14_1_end
98,3/5/2019,58:18.0,29.25253327,-83.10280243,1,-29.149,0.15,312,317.49,0.7,1.2,1.4,0.221,DGPS,2,15,LCO14_2_end
99,3/5/2019,58:39.0,29.25255329,-83.10278308,1.17,-29.149,0.07,305.41,310.9,0.7,1.2,1.4,0.221,DGPS,2,15,LCO14_3_end
100,3/5/2019,03:11.0,29.25503681,-83.10547806,0.759,-29.15,0.01,278.97,284.46,0.7,1.1,1.3,0.208,DGPS,2,15,LCO12_1_start
101,3/5/2019,03:37.0,29.25504687,-83.10546539,0.933,-29.15,0.05,165.23,170.72,0.7,1,1.2,0.2,DGPS,2,16,LCO12_2_start
102,3/5/2019,04:03.0,29.25505634,-83.10545406,1.031,-29.15,0.01,238.62,244.11,0.7,1,1.2,0.2,DGPS,2,16,LCO12_3_start
103,3/5/2019,04:32.0,29.25507654,-83.10543137,1.106,-29.15,0.01,20.53,26.02,0.7,1,1.2,0.2,DGPS,2,16,LCO12_4_start
104,3/5/2019,05:02.0,29.2550919,-83.10540803,1.022,-29.15,0.05,60.52,66.01,0.7,1,1.2,0.195,DGPS,2,17,LCO12_5_start
105,3/5/2019,05:56.0,29.25488718,-83.10532397,0.899,-29.15,0.07,227.25,232.74,0.6,1,1.2,0.195,DGPS,2,17,LCO12_1_end
106,3/5/2019,06:10.0,29.25489431,-83.10531221,0.873,-29.15,0.05,335.16,340.65,0.6,1,1.2,0.195,DGPS,2,17,LCO12_2_end
108,3/5/2019,06:52.0,29.25492159,-83.1052765,0.83,-29.15,0.11,355.12,0.61,0.6,1,1.2,0.195,DGPS,2,17,LCO12_4_end
109,3/5/2019,07:26.0,29.25490323,-83.10529984,0.771,-29.15,0.04,204.67,210.16,0.6,1,1.2,0.195,DGPS,2,17,LCO12_3_end
110,3/5/2019,07:57.0,29.2549422,-83.10525566,0.7,-29.15,0.02,255.75,261.24,0.7,1,1.2,0.206,DGPS,2,16,LCO12_5_end
111,3/5/2019,12:00.0,29.25622392,-83.10660412,0.59,-29.151,0.02,350.64,356.13,0.7,1,1.3,0.209,DGPS,2,15,LCO11B_1_start
112,3/5/2019,12:27.0,29.25623311,-83.106591,0.74,-29.151,0.1,293.98,299.47,0.6,1,1.2,0.258,DGPS,2,17,LCO11B_2_start
113,3/5/2019,12:56.0,29.25624026,-83.10657907,0.971,-29.151,0.02,187.07,192.56,0.6,1,1.2,0.193,DGPS,2,17,LCO11B_3_start
114,3/5/2019,13:59.0,29.25607949,-83.10644203,1.514,-29.151,0.06,184.77,190.26,0.7,1,1.2,0.205,DGPS,2,16,LCO11B_1_end
115,3/5/2019,14:26.0,29.25608937,-83.10643057,1.476,-29.151,0.04,154.61,160.1,0.6,1,1.2,0.193,DGPS,2,17,LCO11B_2_end
116,3/5/2019,14:49.0,29.25609661,-83.10641959,1.22,-29.151,0.03,161.56,167.05,0.6,1,1.2,0.193,DGPS,2,17,LCO11B_3_end
117,3/5/2019,22:01.0,29.25956898,-83.1095781,0.919,-29.154,0.08,232.93,238.42,0.7,1,1.2,0.203,DGPS,2,16,LCO10A_1_start
118,3/5/2019,22:30.0,29.25958359,-83.10957349,1.017,-29.154,0.05,77.48,82.97,0.7,1,1.2,0.242,DGPS,2,16,LCO10A_2_start
120,3/5/2019,23:25.0,29.2596067,-83.10955904,1.256,-29.154,0.07,102.22,107.71,0.7,1,1.2,0.203,DGPS,2,16,LCO10A_3_start
121,3/5/2019,24:02.0,29.25961973,-83.10955257,1.176,-29.154,0.09,193.09,198.58,0.6,1,1.2,0.214,DGPS,2,17,LCO10A_4_start
122,3/5/2019,24:35.0,29.25964413,-83.10954257,0.5,-29.154,0.09,342.65,348.14,0.7,1,1.2,0.216,DGPS,2,15,LCO10A_5_start
123,3/5/2019,25:44.0,29.25947324,-83.10937563,0.67,-29.154,0.01,135.37,140.86,0.7,1,1.2,0.205,DGPS,2,16,LCO10A_1_end
124,3/5/2019,26:06.0,29.259486,-83.10936801,0.9,-29.154,0.1,306.05,311.54,0.7,1,1.2,0.205,DGPS,2,16,LCO10A_2_end
125,3/5/2019,26:41.0,29.25950877,-83.10935175,0.942,-29.154,0.04,73.75,79.24,0.6,1,1.2,0.191,DGPS,2,17,LCO10A_3_end
126,3/5/2019,27:23.0,29.25952117,-83.10934621,1.088,-29.154,0.01,60.16,65.66,0.6,1,1.2,0.191,DGPS,2,17,LCO10A_4_end
127,3/5/2019,27:48.0,29.25954401,-83.10933095,0.909,-29.154,0.07,44.28,49.77,0.6,1,1.2,0.191,DGPS,2,17,LCO10A_5_end
139,3/5/2019,47:08.0,29.26374341,-83.08419971,0.457,-29.175,0.07,247.89,253.38,0.8,1.2,1.5,0.24,DGPS,2,14,BTI4_2_start
140,3/5/2019,48:15.0,29.26372981,-83.08391061,0.48,-29.175,0.03,256.48,261.97,0.7,1.2,1.4,0.224,DGPS,2,15,BTI4_2_end
141,3/5/2019,52:38.0,29.26484452,-83.08342456,0.214,-29.177,0.05,134.55,140.04,0.7,1.2,1.4,0.217,DGPS,2,16,BTI4_1_start
142,3/5/2019,53:37.0,29.26485487,-83.08315782,-0.055,-29.177,0.04,140.69,146.18,0.7,1.2,1.4,0.216,DGPS,2,16,BTI4_1_end
143,3/5/2019,57:43.0,29.267009,-83.08213626,0.402,-29.181,0.04,348.45,353.94,0.7,1.2,1.4,0.224,DGPS,2,15,BTI3_2_start
144,3/5/2019,58:33.0,29.26699996,-83.08192927,0.271,-29.181,0.03,62.7,68.19,0.7,1.2,1.4,0.214,DGPS,2,16,BTI3_2_end
145,3/5/2019,00:38.0,29.26716851,-83.0827678,0.382,-29.181,0.1,164.35,169.84,0.7,1.2,1.4,0.213,DGPS,2,16,BTI3_1_end
146,3/5/2019,01:19.0,29.26735365,-83.08276845,0.434,-29.181,0.03,285.89,291.38,0.7,1.2,1.4,0.213,DGPS,2,16,BTI3_1_start
148,3/5/2019,07:10.0,29.26701636,-83.08469501,0.325,-29.179,0.03,198.05,203.54,0.7,1.2,1.4,0.216,DGPS,2,16,BTI1_1_start
149,3/5/2019,08:06.0,29.26698158,-83.08446167,0.094,-29.179,0.08,99.6,105.09,0.8,1.3,1.5,0.235,DGPS,2,16,BTI1_1_end
150,3/5/2019,11:27.0,29.2683944,-83.08316414,0.104,-29.182,0.08,159.08,164.57,0.7,1.1,1.3,0.296,DGPS,2,17,BTI2_1_start
151,3/5/2019,12:26.0,29.26820324,-83.08314388,0.513,-29.182,0.08,210.02,215.51,0.7,1.1,1.3,0.203,DGPS,2,17,BTI2_1_end
152,3/5/2019,13:32.0,29.26811978,-83.08291805,0.393,-29.182,0.13,8.88,14.37,0.7,1.1,1.3,0.202,DGPS,2,17,BTI2_2_end
153,3/5/2019,14:14.0,29.26810544,-83.08310374,0.222,-29.182,0.06,324.64,330.13,0.7,1.1,1.3,0.202,DGPS,2,17,BTI2_2_start
154,3/5/2019,18:59.0,29.26522123,-83.08103123,0.267,-29.179,0.07,54.98,60.47,0.7,1.1,1.3,0.2,DGPS,2,17,BTI6_1_start
155,3/5/2019,19:50.0,29.26512083,-83.08088832,0.491,-29.179,0.04,239.22,244.71,0.7,1.1,1.3,0.2,DGPS,2,17,BTI6_1_end
156,3/5/2019,25:46.0,29.26427643,-83.08033077,0.057,-29.178,0.08,126.66,132.15,0.8,1.2,1.4,0.226,DGPS,2,16,BTI5_1_start
157,3/5/2019,26:34.0,29.26408041,-83.08036497,0.51,-29.178,0.06,313.52,319.01,0.7,1.1,1.3,0.198,DGPS,2,17,BTI5_1_end
158,3/5/2019,27:27.0,29.264207,-83.08053929,0.872,-29.178,0.05,89.11,94.6,0.7,1.1,1.3,0.204,DGPS,2,16,BTI5_2_start
159,3/5/2019,28:29.0,29.26418754,-83.0801163,0.521,-29.178,0.05,53.08,58.57,0.7,1.1,1.3,0.204,DGPS,2,16,BTI5_2_end
160,3/5/2019,34:01.0,29.25848159,-83.07736953,0.076,-29.172,0.04,111.24,116.73,0.7,1,1.2,0.196,DGPS,2,17,LTI1_1_end
161,3/5/2019,35:04.0,29.25870607,-83.07754435,0.106,-29.173,0.01,231.92,237.41,0.7,1,1.2,0.196,DGPS,2,17,LTI1_1_start
162,3/5/2019,38:38.0,29.25766002,-83.07633753,0.47,-29.172,0.1,308.12,313.61,0.7,1,1.2,0.211,DGPS,2,15,LTI2_1_end
163,3/5/2019,39:39.0,29.25777425,-83.07653295,0.383,-29.172,0.1,324.47,329.96,0.7,1,1.2,0.202,DGPS,2,16,LTI2_1_start
164,3/5/2019,42:51.0,29.25858696,-83.07532937,0.167,-29.174,0.1,282.51,288,0.8,1.3,1.5,0.239,DGPS,2,14,LTI3_1_start
165,3/5/2019,43:48.0,29.25824052,-83.07534813,0.586,-29.173,0.05,328.91,334.4,0.7,1.1,1.3,0.213,DGPS,2,15,LTI3_1_end
166,3/5/2019,46:55.0,29.25938955,-83.07654487,0.734,-29.174,0.04,333.73,339.22,0.8,1.2,1.4,0.274,DGPS,2,14,LTI6_1_end
167,3/5/2019,47:30.0,29.25939165,-83.0767415,1.035,-29.174,0.02,247.3,252.79,0.7,1,1.2,0.226,DGPS,2,15,LTI6_1_start
168,3/5/2019,48:34.0,29.25961697,-83.07658299,0.511,-29.174,0.07,306.65,312.14,0.7,1,1.3,0.224,DGPS,2,14,LTI5_1_start
169,3/5/2019,49:14.0,29.25953947,-83.07654531,0.652,-29.174,0.06,312.48,317.97,0.8,1,1.3,0.227,DGPS,2,14,LTI5_2_start
170,3/5/2019,50:07.0,29.25961568,-83.07637512,0.737,-29.175,0.05,30.36,35.85,0.7,1,1.2,0.213,DGPS,2,15,LTI5_1_end
171,3/5/2019,50:42.0,29.25953664,-83.07635028,0.896,-29.175,0.08,105.77,111.26,0.7,1,1.2,0.213,DGPS,2,15,LTI5_2_end
172,3/5/2019,54:40.0,29.25950705,-83.07578364,-0.138,-29.175,0.07,333.34,338.83,0.8,1.2,1.5,0.244,DGPS,2,14,LTI4_1_end
173,3/5/2019,55:54.0,29.2598184,-83.07576998,0.91,-29.175,0.07,221.81,227.3,0.8,1.2,1.5,0.244,DGPS,2,14,LTI4_1_start
